============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:27:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                     Library 
  Gate   Instances     Area     Power (nW)   Power (nW)                Library              Domain 
---------------------------------------------------------------------------------------------------
AN211X0          8      122.976      0.007       5837.687    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN211X1         12      221.357      0.006      22229.800    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN21X1         186     2287.354      0.111     432675.209    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN221X0       2306    42537.398      2.597     418335.884    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN221X1         15      322.812      0.010      46099.162    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN222X0         78     1678.622      0.117      88393.029    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN22X1        2458    37784.376      1.762     782693.361    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN31X1           2       30.744      0.001       2696.832    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN321X0          2       43.042      0.002       2101.014    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND2X1         383     4709.981      0.290     292717.781    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND2X2           7      129.125      0.008      13277.924    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND2X4           8      221.357      0.016     132364.632    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND3X1           9      138.348      0.005       3926.034    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND4X1           3       73.786      0.004       5636.433    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND5X1           1       27.670      0.001       4642.226    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND6X1         851    26163.144      0.854    1419623.280    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO211X0          5       92.232      0.010       7203.317    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO21X0          24      368.928      0.047      38223.686    D_CELLS_MOSST_fast_1_98V_m40C       2 
