============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:26:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                   Library 
  Gate   Instances     Area     Power (nW)   Power (nW)               Library             Domain 
-------------------------------------------------------------------------------------------------
AN211X0          8      122.976      0.207       4848.321    D_CELLS_MOSST_typ_1_80V_25C       1 
AN211X1         12      221.357      0.268      17945.162    D_CELLS_MOSST_typ_1_80V_25C       1 
AN21X1         186     2287.354      4.426     353058.638    D_CELLS_MOSST_typ_1_80V_25C       1 
AN221X0       2306    42537.398     78.153     339788.227    D_CELLS_MOSST_typ_1_80V_25C       1 
AN221X1         15      322.812      0.431      38161.502    D_CELLS_MOSST_typ_1_80V_25C       1 
AN222X0         78     1678.622      3.382      72123.658    D_CELLS_MOSST_typ_1_80V_25C       1 
AN22X1        2458    37784.376     75.217     573250.319    D_CELLS_MOSST_typ_1_80V_25C       1 
AN31X1           2       30.744      0.049       2061.559    D_CELLS_MOSST_typ_1_80V_25C       1 
AN321X0          2       43.042      0.072       1671.640    D_CELLS_MOSST_typ_1_80V_25C       1 
AND2X1         383     4709.981     10.873     236213.346    D_CELLS_MOSST_typ_1_80V_25C       1 
AND2X2           7      129.125      0.307      10600.867    D_CELLS_MOSST_typ_1_80V_25C       1 
AND2X4           8      221.357      0.709     106518.631    D_CELLS_MOSST_typ_1_80V_25C       1 
AND3X1           9      138.348      0.211       3215.330    D_CELLS_MOSST_typ_1_80V_25C       1 
AND4X1           3       73.786      0.128       4469.131    D_CELLS_MOSST_typ_1_80V_25C       1 
AND5X1           1       27.670      0.037       3750.530    D_CELLS_MOSST_typ_1_80V_25C       1 
AND6X1         851    26163.144     27.783    1135739.521    D_CELLS_MOSST_typ_1_80V_25C       1 
AO211X0          5       92.232      0.330       6054.920    D_CELLS_MOSST_typ_1_80V_25C       1 
AO21X0          24      368.928      1.535      31544.178    D_CELLS_MOSST_typ_1_80V_25C       1 
AO21X1          31      571.838      1.260      74187.610    D_CELLS_MOSST_typ_1_80V_25C       1 
AO21X2          11      270.547      0.670      43534.256    D_CELLS_MOSST_typ_1_80V_25C       1 
AO21X4           4      110.678      0.401      47617.866    D_CELLS_MOSST_typ_1_80V_25C       1 
AO221X0        210     4519.368     14.790     403409.808    D_CELLS_MOSST_typ_1_80V_25C       1 
AO221X1          6      147.571      0.260      15257.366    D_CELLS_MOSST_typ_1_80V_25C       1 
AO221X2          1       33.818      0.066       7294.116    D_CELLS_MOSST_typ_1_80V_25C       1 
AO221X4          1       36.893      0.107       7167.121    D_CELLS_MOSST_typ_1_80V_25C       1 
AO222X0        164     4033.613     12.295     467741.739    D_CELLS_MOSST_typ_1_80V_25C       1 
AO22X0        2477    45691.733    156.782     435069.240    D_CELLS_MOSST_typ_1_80V_25C       1 
AO22X1          12      258.250      0.499      31062.338    D_CELLS_MOSST_typ_1_80V_25C       1 
AO22X2          24      664.070      1.407     107274.549    D_CELLS_MOSST_typ_1_80V_25C       1 
AO22X4           4      122.976      0.384      24338.815    D_CELLS_MOSST_typ_1_80V_25C       1 
AO321X0          4       98.381      0.283       5126.159    D_CELLS_MOSST_typ_1_80V_25C       1 
AO32X0          12      258.250      0.714      10998.772    D_CELLS_MOSST_typ_1_80V_25C       1 
BUX1            10      122.976      0.392      14177.032    D_CELLS_MOSST_typ_1_80V_25C       1 
BUX2            23      353.556      1.477      71626.590    D_CELLS_MOSST_typ_1_80V_25C       1 
BUX20            1       98.381      0.631      19725.877    D_CELLS_MOSST_typ_1_80V_25C       1 
BUX4             2       49.190      0.257       8746.031    D_CELLS_MOSST_typ_1_80V_25C       1 
EN2X0          373     5733.756     17.693     718710.332    D_CELLS_MOSST_typ_1_80V_25C       1 
EN2X1           55     1183.644      2.496     218004.552    D_CELLS_MOSST_typ_1_80V_25C       1 
EN2X2            4      135.274      0.358      19267.011    D_CELLS_MOSST_typ_1_80V_25C       1 
EN3X0          122     3375.691     14.719     493427.599    D_CELLS_MOSST_typ_1_80V_25C       1 
