============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:25:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage      Internal                                     Library 
  Gate   Instances     Area      Power (nW)   Power (nW)                Library              Domain 
----------------------------------------------------------------------------------------------------
AN211X0          8      122.976       6.078       4353.507    D_CELLS_MOSST_slow_1_62V_125C       0 
AN211X1         12      221.357       9.907      15188.957    D_CELLS_MOSST_slow_1_62V_125C       0 
AN21X1         186     2287.354     152.332     292865.227    D_CELLS_MOSST_slow_1_62V_125C       0 
AN221X0       2306    42537.398    2196.370     319638.382    D_CELLS_MOSST_slow_1_62V_125C       0 
AN221X1         15      322.812      15.616      32236.790    D_CELLS_MOSST_slow_1_62V_125C       0 
AN222X0         78     1678.622      89.755      63367.483    D_CELLS_MOSST_slow_1_62V_125C       0 
AN22X1        2458    37784.376    2706.927     465142.648    D_CELLS_MOSST_slow_1_62V_125C       0 
AN31X1           2       30.744       1.695       1665.792    D_CELLS_MOSST_slow_1_62V_125C       0 
AN321X0          2       43.042       2.127       1422.719    D_CELLS_MOSST_slow_1_62V_125C       0 
AND2X1         383     4709.981     348.635     194041.181    D_CELLS_MOSST_slow_1_62V_125C       0 
AND2X2           7      129.125      10.494       8558.169    D_CELLS_MOSST_slow_1_62V_125C       0 
AND2X4           8      221.357      25.735      86705.013    D_CELLS_MOSST_slow_1_62V_125C       0 
AND3X1           9      138.348       7.232       2675.753    D_CELLS_MOSST_slow_1_62V_125C       0 
AND4X1           3       73.786       3.877       3606.563    D_CELLS_MOSST_slow_1_62V_125C       0 
AND5X1           1       27.670       1.155       3047.727    D_CELLS_MOSST_slow_1_62V_125C       0 
AND6X1         851    26163.144     884.150     919574.093    D_CELLS_MOSST_slow_1_62V_125C       0 
AO211X0          5       92.232      10.021       5341.008    D_CELLS_MOSST_slow_1_62V_125C       0 
AO21X0          24      368.928      46.935      27170.766    D_CELLS_MOSST_slow_1_62V_125C       0 
AO21X1          31      571.838      35.719      60989.686    D_CELLS_MOSST_slow_1_62V_125C       0 
AO21X2          11      270.547      19.939      35198.236    D_CELLS_MOSST_slow_1_62V_125C       0 
AO21X4           4      110.678      14.055      38501.784    D_CELLS_MOSST_slow_1_62V_125C       0 
AO221X0        210     4519.368     454.582     354712.162    D_CELLS_MOSST_slow_1_62V_125C       0 
AO221X1          6      147.571       7.320      12655.559    D_CELLS_MOSST_slow_1_62V_125C       0 
AO221X2          1       33.818       1.949       5970.840    D_CELLS_MOSST_slow_1_62V_125C       0 
AO221X4          1       36.893       3.690       5822.953    D_CELLS_MOSST_slow_1_62V_125C       0 
AO222X0        164     4033.613     385.267     400461.722    D_CELLS_MOSST_slow_1_62V_125C       0 
AO22X0        2477    45691.733    4924.883     381203.102    D_CELLS_MOSST_slow_1_62V_125C       0 
AO22X1          12      258.250      14.636      25565.609    D_CELLS_MOSST_slow_1_62V_125C       0 
AO22X2          24      664.070      43.890      86846.347    D_CELLS_MOSST_slow_1_62V_125C       0 
AO22X4           4      122.976      14.009      19728.960    D_CELLS_MOSST_slow_1_62V_125C       0 
