============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 22 2025  11:35:24 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    Leakage     Internal                                     Library 
   Gate    Instances     Area     Power (nW)   Power (nW)                Library              Domain 
-----------------------------------------------------------------------------------------------------
AN211X0            4       61.488      0.003       3193.589    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN211X1           16      295.142      0.008      40296.333    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN21X1           260     3197.376      0.155     887290.552    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN221X0         2303    42482.059      2.593     601432.389    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN221X1           14      301.291      0.010      43193.570    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN222X0           83     1786.226      0.125     174728.516    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN22X1          2486    38214.792      1.782    1058894.475    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN22X2             4      122.976      0.009      34256.522    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN31X1             6       92.232      0.004      18049.396    D_CELLS_MOSST_fast_1_98V_m40C       2 
AN321X0            2       43.042      0.002       3402.703    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND2X1           677     8325.475      0.512    1393038.281    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND2X2            13      239.803      0.014      94779.240    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND2X4            16      442.714      0.033     133616.553    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND3X1            12      184.464      0.007      14857.385    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND4X1             1       24.595      0.001       2146.161    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND5X1             6      166.018      0.007      26430.738    D_CELLS_MOSST_fast_1_98V_m40C       2 
AND6X1           855    26286.120      0.858    2121529.014    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO211X0            4       73.786      0.008      10530.597    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO21X0            21      322.812      0.041      55569.146    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO21X1            17      313.589      0.022      82278.350    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO21X2             4       98.381      0.007      38789.179    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO221X0          185     3981.348      0.396     660053.508    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO221X1            2       49.190      0.003       7399.352    D_CELLS_MOSST_fast_1_98V_m40C       2 
AO222X0          150     3689.280      0.336     609632.462    D_CELLS_MOSST_fast_1_98V_m40C       2 
